Country ,# of Subscribers,Average Monthly Revenue per Paying Membership,Total Monthly Revenue from Paid Memberships ,Total Yearly Revenue from Paid Memberships (2018) ,,Source,
Costa Rica,"166,000",$9.43,"$1,565,380.00","$18,784,560.00",,https://www.digitaltvresearch.com/ugc/Latin%20America%20OTT%20TV%20and%20Video%20Forecasts%202019%20TOC_sample_230.pdf,2018
Czech Republic,"155,357",$9.43,"$1,465,016.51","$17,580,198.12",,https://fusion.nakono.com/data/netflix-streaming-subscribers-czech-republic-annual,Estimate (2018 from 2016) 
South Africa,"152,588",$9.43,"$1,438,904.84","$17,266,858.08",,https://fusion.nakono.com/data/netflix-streaming-subscribers-south-africa-annual,Estimate (2018 from 2016) 
Singapore,"152,333",$9.43,"$1,436,500.19","$17,238,002.28",,https://fusion.nakono.com/data/netflix-streaming-subscribers-singapore-annual,Estimate (2018 from 2016) 
Malaysia,"132,000",$9.43,"$1,244,760.00","$14,937,120.00",,https://asia.nikkei.com/Business/Companies/Netflix-tests-cheaper-mobile-only-plan-in-Malaysia,2018
Romania,"123,008",$9.43,"$1,159,965.44","$13,919,585.28",,https://fusion.nakono.com/data/netflix-streaming-subscribers-romania-annual,Estimate (2018 from 2017) 
Hungary,"122,387",$9.43,"$1,154,109.41","$13,849,312.92",,https://fusion.nakono.com/data/netflix-streaming-subscribers-hungary-annual,Estimate (2018 from 2016) 
Guatemala,"105,000",$9.43,"$990,150.00","$11,881,800.00",,https://fusion.nakono.com/data/netflix-streaming-subscribers-guatemala-annual,Estimated figure
Philippines,"103,949",$9.43,"$980,239.07","$11,762,868.84",,https://fusion.nakono.com/data/netflix-streaming-subscribers-philippines-annual,Estimate (2018 from 2017) 
Ukraine,"103,263",$9.43,"$973,770.09","$11,685,241.08",,https://fusion.nakono.com/data/netflix-streaming-subscribers-ukraine-annual,Estimate (2018 from 2017) 
Greece,"65,300",$9.43,"$615,779.00","$7,389,348.00",,https://fusion.nakono.com/data/netflix-streaming-subscribers-greece-annual,Estimate (2018)
Luxembourg ,"52,151",$9.43,"$491,783.93","$5,901,407.16",,https://fusion.nakono.com/data/netflix-streaming-subscribers-luxembourg-annual,Estimated figure
